Gene	sgRNA	Comparison_1|beta	Comparison_1|z	Comparison_1|p-value	Comparison_1|fdr	Comparison_1|wald-p-value	Comparison_1|wald-fdr	Comparison_2|beta	Comparison_2|z	Comparison_2|p-value	Comparison_2|fdr	Comparison_2|wald-p-value	Comparison_2|wald-fdr	Comparison_3|beta	Comparison_3|z	Comparison_3|p-value	Comparison_3|fdr	Comparison_3|wald-p-value	Comparison_3|wald-fdr
RPL26L1	10	-0.093085	-0.9745	0.13216	0.39615	0.32981	0.99951	-0.037711	-0.39565	0.58717	0.78204	0.69237	0.90868	-0.091738	-0.94892	0.16057	0.50609	0.34266	0.62469
CEACAM1	10	-0.03468	-0.59386	0.71029	0.88377	0.55261	0.99951	0.026458	0.45314	0.67241	0.82909	0.65044	0.89182	-0.095891	-1.6394	0.14981	0.49083	0.10112	0.31908
FDX1	10	-0.2421	-2.352	0.00043048	0.0058824	0.018675	0.3121	-0.42735	-4.1513	0	0	3.3062e-05	0.00064541	0.11858	1.1484	0.75893	0.90876	0.25079	0.52576
NNT	10	0.02466	0.2461	0.41799	0.7098	0.8056	0.99951	0.017949	0.17925	0.77012	0.88593	0.85774	0.95626	0.072642	0.7206	0.96126	0.9837	0.47115	0.7329
GCGR	10	-0.11287	-1.7632	0.073181	0.31193	0.077871	0.76006	-0.073212	-1.1439	0.30693	0.55186	0.25267	0.63386	-0.15861	-2.4735	0.043048	0.26385	0.013379	0.10164
HINT1	10	-0.042061	-0.5927	0.6074	0.8267	0.55338	0.99951	0.00038915	0.0054859	0.98493	0.99349	0.99562	0.99993	0.044764	0.62896	0.79595	0.91762	0.52938	0.77294
EEF2K	10	0.028585	0.37362	0.36806	0.6646	0.70869	0.99951	0.054566	0.71347	0.4068	0.65217	0.47555	0.79536	0.01545	0.20127	0.61429	0.83941	0.84049	0.94412
CA12	10	-0.026718	-0.29357	0.82996	0.92648	0.76909	0.99951	-0.077504	-0.85192	0.27766	0.52679	0.39426	0.74605	0.12089	1.3239	0.74688	0.9062	0.18553	0.44569
KCNMB4	10	-0.038598	-0.30836	0.65433	0.8612	0.75781	0.99951	0.048017	0.384	0.45846	0.69882	0.70098	0.91021	-0.0085349	-0.067778	0.48214	0.76765	0.94596	0.98559
SGPP1	10	0.023088	0.24829	0.43952	0.72411	0.80391	0.99951	0.052522	0.56525	0.42402	0.66961	0.5719	0.85162	0.23064	2.4714	0.25312	0.617	0.01346	0.10164
CKMT1A	10	0.039021	0.44286	0.27249	0.57703	0.65787	0.99951	0.10495	1.192	0.11494	0.31938	0.23328	0.60821	-0.081529	-0.92028	0.19415	0.54426	0.35743	0.63919
SYN1	10	0.075559	0.64151	0.067155	0.29602	0.52119	0.99951	0.094451	0.80228	0.15583	0.38552	0.42239	0.76866	-0.033298	-0.28155	0.37107	0.69968	0.77829	0.90856
PTPRZ1	10	0.078876	0.87922	0.058545	0.272	0.37928	0.99951	0.09988	1.1146	0.12957	0.34354	0.26504	0.64673	0.10507	1.1634	0.8347	0.93632	0.24469	0.5192
SIK2	10	0.058752	0.64063	0.13259	0.39615	0.52177	0.99951	0.058608	0.63953	0.37538	0.62108	0.52248	0.82622	0.10359	1.1224	0.84417	0.93682	0.26168	0.53133
AURKC	10	-0.033872	-0.27485	0.72191	0.88918	0.78343	0.99951	-0.0010303	-0.0083701	0.99742	0.99828	0.99332	0.99993	0.053884	0.43395	0.84675	0.93682	0.66433	0.847
CRH	10	-0.053083	-0.30226	0.45803	0.73416	0.76246	0.99951	0.03704	0.21137	0.56307	0.76716	0.8326	0.95402	0.30649	1.7364	0.089109	0.38619	0.082486	0.28945
LCT	10	-0.018476	-0.26726	0.97589	0.99215	0.78927	0.99951	-0.028104	-0.40665	0.68059	0.83518	0.68426	0.90676	-0.14422	-2.0793	0.061558	0.3236	0.037593	0.18861
TSSK3	10	-0.095485	-0.31797	0.12527	0.39044	0.75051	0.99951	-0.12946	-0.43174	0.078347	0.25559	0.66593	0.89427	0.60919	2.0264	0	0	0.042719	0.20211
KCNMB1	10	-0.056729	-0.83411	0.42058	0.71158	0.40422	0.99951	-0.10139	-1.491	0.15454	0.38355	0.13595	0.45936	-0.084045	-1.2329	0.18123	0.52757	0.21762	0.48876
CAMK2D	10	0.0080445	0.095705	0.64701	0.85861	0.92376	0.99951	0.019889	0.23677	0.74903	0.87349	0.81284	0.9517	0.15357	1.8199	0.56134	0.80994	0.068774	0.26062
SLC6A14	10	0.087527	0.775	0.038313	0.20794	0.43834	0.99951	0.098401	0.87236	0.13517	0.35321	0.38301	0.73776	0.035915	0.31488	0.74344	0.90561	0.75285	0.89739
GPX5	10	-0.0082691	-0.086484	0.87947	0.95781	0.93108	0.99951	0.017844	0.18675	0.77185	0.88593	0.85186	0.95582	0.14625	1.5241	0.59578	0.82549	0.12749	0.36474
CHRNB2	10	0.024073	0.48826	0.42789	0.71695	0.62537	0.99951	0.040545	0.82245	0.53207	0.74894	0.41082	0.76041	-0.057376	-1.1617	0.27206	0.63627	0.24536	0.5192
CA11	10	-0.10299	-1.514	0.10073	0.36505	0.13002	0.89732	-0.14343	-2.1092	0.055532	0.20908	0.034926	0.20361	0.0011604	0.016999	0.53293	0.79359	0.98644	0.99245
SRR	10	-0.0055502	-0.065495	0.8446	0.93696	0.94778	0.99951	-0.011871	-0.14025	0.86698	0.92989	0.88846	0.96209	0.099299	1.1632	0.87	0.94131	0.24474	0.5192
HDHD1	10	-0.050553	-0.72287	0.48816	0.75449	0.46976	0.99951	-0.0073418	-0.10502	0.91606	0.95856	0.91636	0.9729	-0.099376	-1.4164	0.13904	0.4688	0.15666	0.40499
PI4K2B	10	-0.006087	-0.097274	0.85105	0.94009	0.92251	0.99951	0.0080939	0.12951	0.8842	0.93876	0.89695	0.96488	-0.038479	-0.60982	0.35127	0.68677	0.54198	0.78006
EGFR	10	-0.3405	-2.8556	0	0	0.0042955	0.11087	-0.54448	-4.5653	0	0	4.988e-06	0.00011587	-0.10438	-0.87206	0.12871	0.45386	0.38318	0.66725
PTK2B	10	0.097941	1.1332	0.020663	0.13994	0.25714	0.99951	0.18766	2.1721	0.0060267	0.04321	0.029849	0.18441	0.064043	0.73885	0.90616	0.96075	0.46	0.72643
SHARPIN	10	-0.085394	-0.88284	0.17004	0.45246	0.37732	0.99951	-0.14624	-1.5121	0.052949	0.20264	0.1305	0.45515	0.18	1.8579	0.44124	0.74709	0.063181	0.24585
SYK	10	-0.060327	-0.52957	0.37796	0.67124	0.59641	0.99951	-0.014961	-0.13152	0.83254	0.91746	0.89536	0.96488	0.18068	1.5773	0.43823	0.74652	0.11473	0.34037
SCN1A	10	0.064421	0.64761	0.10805	0.3713	0.51723	0.99951	0.16788	1.6882	0.011192	0.068241	0.091366	0.36906	0.20688	2.0765	0.32932	0.67639	0.037844	0.18925
AADACL2	10	0.057075	0.61422	0.14163	0.40718	0.53907	0.99951	0.11229	1.2089	0.088678	0.27876	0.2267	0.60292	0.014719	0.15795	0.61128	0.83776	0.87449	0.9558
PTGDR	10	-0.038766	-0.57236	0.65303	0.8612	0.56708	0.99951	0.016639	0.24574	0.78907	0.89589	0.80588	0.9487	-0.079004	-1.1633	0.20146	0.55059	0.24473	0.5192
DHRS4L2	10	0.049274	0.82463	0.18295	0.47195	0.40958	0.99951	0.089886	1.5046	0.17908	0.41978	0.13243	0.45711	0.027888	0.46585	0.69737	0.88767	0.64132	0.83743
XYLB	10	-0.015326	-0.15868	0.97632	0.99215	0.87392	0.99951	0.15793	1.6357	0.015067	0.084746	0.1019	0.38806	-0.089252	-0.92228	0.16789	0.51724	0.35638	0.63785
IDH3B	10	-0.18823	-2.025	0.0030133	0.03271	0.042863	0.59022	-0.096155	-1.0345	0.17477	0.41176	0.30088	0.68648	-0.029025	-0.31208	0.38786	0.71115	0.75498	0.89746
DCLK2	10	-0.028962	-0.4919	0.79983	0.91946	0.62279	0.99951	0.0096082	0.1632	0.86268	0.9292	0.87036	0.96015	-0.033351	-0.56605	0.37107	0.69968	0.57136	0.79623
PLK1	10	-0.51444	-2.5475	0	0	0.010851	0.20881	-0.60475	-3.0034	0	0	0.0026701	0.02769	-0.68143	-3.2252	0	0	0.0012589	0.020605
ACVRL1	10	-0.097532	-0.90081	0.11795	0.38056	0.36769	0.99951	-0.075187	-0.69529	0.29229	0.53712	0.48687	0.80164	-0.013164	-0.12111	0.46406	0.76076	0.9036	0.96871
KIF1A	10	-0.048053	-0.66863	0.51916	0.77258	0.50373	0.99951	0.006841	0.095211	0.90357	0.9502	0.92415	0.97741	-0.0082258	-0.11426	0.48343	0.76813	0.90903	0.9689
HMGCL	10	-0.051153	-0.53504	0.47783	0.74597	0.59262	0.99951	-0.071205	-0.74584	0.31726	0.55782	0.45576	0.78425	-0.011275	-0.11688	0.47008	0.76098	0.90695	0.96871
MAP3K5	10	0.0035575	0.03714	0.71675	0.88611	0.97037	0.99951	-0.0087057	-0.090989	0.90099	0.95007	0.9275	0.97844	0.18231	1.8921	0.43263	0.74244	0.058477	0.23502
EEF2	10	-0.6076	-4.2893	0	0	1.792e-05	0.0030112	-0.73186	-5.1679	0	0	2.3677e-07	8.4617e-06	-0.73764	-5.1622	0	0	2.4409e-07	2.9843e-05
DYRK2	10	0.006141	0.07147	0.67068	0.86515	0.94302	0.99951	0.080414	0.93635	0.22901	0.47713	0.34909	0.72212	-0.12864	-1.4901	0.082652	0.37137	0.1362	0.37665
ACY1	9	-0.058293	-0.76257	0.44554	0.72785	0.44572	0.99951	-0.017124	-0.22406	0.82738	0.91393	0.82271	0.95353	-0.11871	-1.5498	0.12656	0.45245	0.12119	0.35324
JAK1	10	0.092579	1.1506	0.029272	0.17571	0.24989	0.99951	0.18089	2.2489	0.0077486	0.052023	0.024521	0.16228	-0.13443	-1.6657	0.071029	0.34161	0.095783	0.31383
PTP4A1	10	-0.062101	-0.59513	0.35644	0.65071	0.55176	0.99951	-0.028747	-0.27558	0.66896	0.82704	0.78287	0.93589	-0.085256	-0.81462	0.17908	0.52525	0.41529	0.69255
NMT2	10	0.063002	0.96867	0.11192	0.37518	0.33271	0.99951	0.11898	1.8297	0.069307	0.23958	0.067293	0.30856	-0.13006	-1.9938	0.078347	0.36546	0.046171	0.20836
ANXA2	10	-0.1051	-1.2739	0.092983	0.35008	0.20269	0.99473	-0.075807	-0.92048	0.28842	0.53514	0.35732	0.72909	0.077734	0.93497	0.99742	0.99785	0.3498	0.62992
NEK3	10	-0.024899	-0.3812	0.86182	0.94523	0.70305	0.99951	0.03765	0.57655	0.5579	0.76641	0.56424	0.84724	-0.131	-2.0007	0.076625	0.3596	0.045421	0.20729
NDUFA6	10	-0.10252	-1.5451	0.10202	0.3653	0.12233	0.87757	-0.10746	-1.6211	0.1313	0.34502	0.10499	0.39657	-0.095091	-1.423	0.1511	0.49229	0.15473	0.40476
FNTA	5	-0.53003	-3.0232	0	0	0.0025014	0.073603	-0.6914	-3.9434	0	0	8.0324e-05	0.001372	0.1023	0.58287	0.86741	0.94027	0.55998	0.79079
PPP1R10	10	-0.44644	-3.4264	0	0	0.00061154	0.030226	-0.66967	-5.1365	0	0	2.7997e-07	9.7072e-06	-0.16379	-1.2466	0.038743	0.25281	0.21254	0.48452
MARK3	10	-0.031267	-0.44828	0.76496	0.90663	0.65395	0.99951	-0.056431	-0.80913	0.42962	0.67661	0.41844	0.7666	-0.12448	-1.7821	0.091261	0.39011	0.074726	0.27039
SCMH1	10	-0.0016905	-0.021897	0.7839	0.90959	0.98253	0.99951	0.013066	0.16951	0.83039	0.91639	0.86539	0.95729	0.021156	0.2714	0.65303	0.86835	0.78608	0.91395
CD209	10	-0.029358	-0.32616	0.79294	0.91551	0.7443	0.99951	-0.027049	-0.30055	0.69178	0.83873	0.76376	0.93241	0.051674	0.5733	0.83685	0.93642	0.56644	0.79464
ROR2	10	-0.068836	-0.65182	0.29229	0.59719	0.51451	0.99951	-0.059477	-0.56337	0.40336	0.64979	0.57318	0.85189	-0.087254	-0.82399	0.17391	0.52102	0.40995	0.69208
F2R	10	-0.059135	-0.67934	0.3913	0.68243	0.49692	0.99951	-0.071925	-0.82674	0.31296	0.55454	0.40839	0.75895	-0.01765	-0.20173	0.4421	0.74709	0.84013	0.94412
SI	10	0.11674	1.4026	0.0055962	0.051587	0.16075	0.95487	0.18332	2.2034	0.0073181	0.050746	0.027565	0.17738	0.042755	0.51186	0.78648	0.91738	0.60875	0.81976
GABBR2	10	-0.16291	-1.7542	0.0068876	0.058824	0.079404	0.76537	-0.1768	-1.904	0.020232	0.10284	0.056912	0.2801	0.13739	1.4778	0.64916	0.86697	0.13947	0.38087
S100A12	10	-0.13269	-1.863	0.034008	0.19363	0.062459	0.7018	-0.20868	-2.9307	0.0077486	0.052023	0.0033821	0.033575	0.11264	1.5774	0.7882	0.91738	0.11471	0.34037
LEPREL2	10	0.082174	0.42959	0.052088	0.25684	0.66749	0.99951	0.11079	0.57948	0.094705	0.28986	0.56226	0.84595	0.14625	0.762	0.59578	0.82549	0.44606	0.71651
FGF4	10	-0.18379	-1.1943	0.0038743	0.038961	0.23236	0.99951	-0.20052	-1.3036	0.009901	0.063187	0.19239	0.55673	0.25289	1.6408	0.19372	0.54426	0.10084	0.31908
PKN1	10	-0.020928	-0.26119	0.93112	0.97919	0.79395	0.99951	-0.092582	-1.1555	0.18855	0.42442	0.24787	0.62723	0.1076	1.3415	0.82092	0.93206	0.17976	0.43545
ARL5B	10	0.0297	0.3163	0.35601	0.65071	0.75177	0.99951	0.03798	0.40556	0.55532	0.76526	0.68506	0.90678	-0.024993	-0.26224	0.40895	0.72574	0.79313	0.9179
MAPKAPK2	10	0.098863	0.91453	0.018511	0.1303	0.36044	0.99951	0.19451	1.8006	0.0047353	0.035599	0.071769	0.31701	0.068312	0.6304	0.93328	0.97351	0.52844	0.77205
GP1BA	10	-0.018526	-0.27159	0.97374	0.99215	0.78593	0.99951	0.020049	0.29395	0.74688	0.87186	0.7688	0.93241	-0.01958	-0.28685	0.43134	0.74186	0.77423	0.90522
BHMT2	10	-0.017101	-0.27964	0.99742	0.99914	0.77975	0.99951	0.042103	0.68848	0.517	0.7409	0.49115	0.80518	-0.26689	-4.3615	0.0038743	0.07377	1.292e-05	0.0007146
MTOR	10	-0.32253	-3.0368	0	0	0.0023908	0.073076	-0.64432	-6.0639	0	0	1.3285e-09	1.2859e-07	-0.18377	-1.7254	0.02712	0.21356	0.084456	0.29414
PRKD1	10	-0.13019	-1.6761	0.03573	0.19809	0.093726	0.81241	-0.062118	-0.79993	0.38442	0.63065	0.42375	0.76887	0.074837	0.96216	0.97848	0.99217	0.33597	0.61794
BEGAIN	10	0.042139	0.49905	0.23848	0.53475	0.61774	0.99951	-0.00047629	-0.005649	0.9944	0.99784	0.99549	0.99993	-0.10839	-1.2641	0.12226	0.44618	0.2062	0.47425
MAP2K7	10	-0.13788	-1.0261	0.02712	0.16711	0.30486	0.99951	-0.21013	-1.5653	0.0073181	0.050746	0.11752	0.42739	0.077481	0.57238	0.9957	0.99785	0.56706	0.79498
ALPL	10	-0.059426	-0.5898	0.38571	0.67776	0.55532	0.99951	-0.073053	-0.72604	0.30822	0.55375	0.46781	0.79286	-0.036811	-0.36162	0.35601	0.68917	0.71764	0.87787
PDHA2	10	0.081279	1.1387	0.05381	0.26096	0.25484	0.99951	0.19453	2.7257	0.0047353	0.035599	0.0064167	0.056463	-0.23408	-3.2725	0.0073181	0.097701	0.0010658	0.018616
NDUFA9	10	-0.00676	-0.090557	0.85923	0.94508	0.92784	0.99951	0.026023	0.34864	0.67886	0.83351	0.72736	0.9188	-0.20036	-2.6797	0.020232	0.19421	0.0073696	0.070162
MAP3K7	10	-0.26642	-2.7249	0	0	0.0064314	0.14792	-0.5953	-6.0843	0	0	1.1702e-09	1.1819e-07	-0.35931	-3.6504	0	0	0.00026179	0.0072049
HBB	10	0.033338	0.34235	0.31898	0.6175	0.73209	0.99951	0.086744	0.89116	0.19113	0.42871	0.37284	0.73742	-0.017731	-0.1815	0.44124	0.74709	0.85597	0.95231
EPRS	10	-0.21931	-1.8924	0.00043048	0.0058824	0.058436	0.67388	-0.36828	-3.1787	0	0	0.0014794	0.017013	-0.39335	-3.3396	0	0	0.00083907	0.016279
NDUFB5	10	-0.076266	-0.68957	0.2316	0.52786	0.49046	0.99951	-0.067801	-0.61359	0.34094	0.58537	0.53949	0.83449	0.072605	0.65314	0.9604	0.98325	0.51366	0.76294
AKAP7	10	-0.098316	-0.9036	0.11537	0.37588	0.36621	0.99951	-0.080097	-0.73676	0.2613	0.51135	0.46127	0.78558	0.29931	2.7434	0.10288	0.40646	0.0060813	0.062918
GABRA1	10	-0.017303	-0.30603	0.99828	0.99914	0.75958	0.99951	0.053832	0.95248	0.4124	0.65752	0.34085	0.71916	-0.044868	-0.79121	0.32458	0.67524	0.42882	0.70368
CDC42BPA	10	0.046091	0.48843	0.20749	0.5	0.62524	0.99951	0.077488	0.82149	0.2415	0.49211	0.41137	0.76041	0.26098	2.7599	0.17391	0.52102	0.0057826	0.060783
RPL15	10	-0.53644	-3.2172	0	0	0.0012943	0.048495	-0.69666	-4.1793	0	0	2.9237e-05	0.00057558	-0.2841	-1.678	0.0012914	0.029412	0.093353	0.31024
SLC1A4	10	0.000436	0.0037439	0.75936	0.90542	0.99701	0.99984	0.033575	0.28843	0.59621	0.78571	0.77302	0.93241	0.0043931	0.037606	0.54972	0.80063	0.97	0.99054
AKAP11	10	0.023205	0.39053	0.43909	0.72392	0.69614	0.99951	0.03642	0.61298	0.5678	0.76999	0.53989	0.83449	0.066701	1.122	0.9251	0.9702	0.26187	0.53133
AKAP13	10	0.024516	0.30814	0.42058	0.71158	0.75797	0.99951	0.052291	0.65761	0.42531	0.6712	0.51079	0.81945	0.040005	0.50066	0.76883	0.91309	0.61661	0.82219
GK2	10	0.028011	0.33548	0.37667	0.67101	0.73726	0.99951	-0.02009	-0.2408	0.77185	0.88593	0.80971	0.94902	-0.024359	-0.28978	0.41326	0.72969	0.77198	0.90413
SBK1	10	0.0072149	0.099999	0.65734	0.8612	0.92035	0.99951	0.024364	0.33771	0.69479	0.83975	0.73558	0.9225	-0.051928	-0.71905	0.29746	0.66251	0.47211	0.7329
AURKA	10	-0.17705	-2.0658	0.0047353	0.045267	0.038844	0.55021	-0.33959	-3.9625	0	0	7.417e-05	0.0012837	-0.30704	-3.5573	0.00043048	0.011494	0.00037468	0.0083691
DYRK1B	10	0.048564	0.54819	0.18855	0.47926	0.58356	0.99951	0.025605	0.28916	0.68274	0.83658	0.77246	0.93241	-0.0030552	-0.034308	0.51227	0.78309	0.97263	0.99054
AVPR1B	10	0.0048154	0.057436	0.69307	0.87648	0.9542	0.99951	0.068113	0.81245	0.30133	0.54638	0.41653	0.76508	-0.1299	-1.5485	0.079208	0.36727	0.1215	0.3537
SLC36A1	10	-0.15066	-1.2956	0.015497	0.11429	0.19511	0.99473	-0.20657	-1.777	0.0086096	0.056657	0.075569	0.3273	0.093068	0.79827	0.90314	0.95932	0.42471	0.70024
PRDX6	10	0.024187	0.24229	0.42574	0.71563	0.80855	0.99951	-0.0017039	-0.01707	0.98924	0.9961	0.98638	0.99972	0.012401	0.12407	0.59664	0.82549	0.90126	0.96837
NEK8	10	-0.003706	-0.027378	0.81533	0.91946	0.97816	0.99951	0.040964	0.30288	0.5282	0.74863	0.76198	0.93241	-0.028655	-0.2103	0.39001	0.71115	0.83343	0.93938
EPHA5	10	0.075996	0.79536	0.066294	0.29559	0.4264	0.99951	0.094282	0.98728	0.15626	0.38576	0.32351	0.70234	0.090124	0.93944	0.92036	0.96655	0.3475	0.62793
SLC8A1	10	0.066009	0.80391	0.10331	0.3653	0.42145	0.99951	0.11951	1.4562	0.067585	0.23574	0.14533	0.47277	-0.0039159	-0.047507	0.50624	0.78244	0.96211	0.98828
HSPG2	10	0.022126	0.37806	0.44813	0.73001	0.70539	0.99951	0.010232	0.17489	0.85751	0.92827	0.86117	0.95626	-0.058192	-0.99034	0.26905	0.63452	0.32201	0.60305
CLK2	10	0.017201	0.2015	0.50882	0.76669	0.84031	0.99951	0.10713	1.2577	0.10547	0.30435	0.2085	0.57797	-0.14435	-1.6755	0.061558	0.3236	0.093838	0.31052
PTPRC	10	-0.013544	-0.13374	0.95308	0.98934	0.89361	0.99951	-0.019088	-0.1886	0.78003	0.89042	0.85041	0.95582	-0.063803	-0.62615	0.25398	0.61771	0.53122	0.7743
CERKL	10	0.038799	0.64847	0.27335	0.5778	0.51668	0.99951	0.10885	1.8195	0.1003	0.29569	0.06883	0.31139	-0.0923	-1.5409	0.15928	0.50477	0.12335	0.35684
PPM1E	10	-0.044814	-0.22483	0.5678	0.81169	0.82212	0.99951	-0.079959	-0.40132	0.26173	0.51135	0.68818	0.90678	0.25732	1.2877	0.18295	0.53059	0.19786	0.46442
PGGT1B	10	-0.1902	-1.4336	0.0030133	0.03271	0.15169	0.92972	-0.44835	-3.3757	0	0	0.00073625	0.0093973	0.022971	0.1714	0.66767	0.87528	0.86391	0.95544
ADRB1	10	0.023436	0.3205	0.43392	0.72051	0.74859	0.99951	0.11384	1.557	0.082652	0.26593	0.11947	0.43163	0.11924	1.6297	0.75764	0.90876	0.10317	0.32127
PIK3AP1	10	0.055441	0.95018	0.15024	0.42201	0.34202	0.99951	0.10672	1.8293	0.10762	0.30713	0.067354	0.30856	-0.1931	-3.3042	0.023676	0.20599	0.0009525	0.017286
MCFD2	10	-0.037306	-0.26582	0.67068	0.86515	0.79038	0.99951	0.039406	0.28119	0.54111	0.75405	0.77856	0.93508	0.22894	1.625	0.25743	0.62162	0.10417	0.32265
IKBKB	10	0.026427	0.29929	0.3969	0.6896	0.76472	0.99951	0.065758	0.74509	0.31855	0.55882	0.45622	0.7844	0.16871	1.9055	0.49505	0.77546	0.05672	0.23197
HSD17B10	10	-0.05342	-0.53538	0.45588	0.73412	0.59239	0.99951	-0.4123	-4.1271	0	0	3.6738e-05	0.00070532	-0.23645	-2.3469	0.0064572	0.090361	0.01893	0.12536
CCL8	10	0.047157	0.5437	0.19845	0.4899	0.58665	0.99951	0.040495	0.46727	0.53293	0.74894	0.64031	0.89182	0.0048062	0.055021	0.55144	0.80263	0.95612	0.98828
INPP4B	10	-0.048864	-0.59057	0.50839	0.76669	0.55481	0.99951	-0.0032029	-0.038731	0.96642	0.98465	0.9691	0.99173	0.20228	2.4391	0.34438	0.68201	0.014724	0.10688
TLR2	10	-0.10863	-0.8288	0.084374	0.33504	0.40722	0.99951	-0.12825	-0.97976	0.079208	0.25627	0.3272	0.70575	0.2593	1.9679	0.17908	0.52525	0.049085	0.21666
CYTH3	10	-0.12897	-0.88957	0.038313	0.20794	0.3737	0.99951	-0.13731	-0.94838	0.065433	0.22926	0.34294	0.71985	0.28825	1.981	0.12139	0.4455	0.047592	0.21302
OXCT1	10	-0.050001	-0.56758	0.49505	0.75958	0.57032	0.99951	-0.043574	-0.49476	0.53035	0.74894	0.62077	0.87827	0.10915	1.2365	0.8093	0.92474	0.21629	0.48876
PHKA2	10	0.097223	1.5471	0.022815	0.15211	0.12185	0.87757	0.17675	2.8129	0.0077486	0.052023	0.0049095	0.045438	-0.20976	-3.3326	0.014636	0.15888	0.00086026	0.016515
SPTLC1	10	-0.16426	-1.7113	0.0068876	0.058824	0.087017	0.79043	-0.42446	-4.4198	0	0	9.8775e-06	0.00021444	0.11501	1.1936	0.77486	0.91514	0.23262	0.50408
COL2A1	10	-0.067633	-0.94154	0.30004	0.60103	0.34643	0.99951	-0.15588	-2.1703	0.037882	0.15799	0.029987	0.18477	-0.10516	-1.4606	0.12742	0.45329	0.14413	0.38698
PPM1G	10	-0.36623	-1.9176	0	0	0.055156	0.65384	-0.5586	-2.9244	0	0	0.0034508	0.034111	0.39975	2.0923	0.021093	0.19522	0.036413	0.1855
MGST1	10	-0.010936	-0.20024	0.91563	0.97257	0.8413	0.99951	0.016102	0.29485	0.79552	0.89752	0.76811	0.93241	0.053466	0.97823	0.84503	0.93682	0.32796	0.60838
CA13	10	-0.0011196	-0.016826	0.77873	0.90959	0.98658	0.99951	-0.0081137	-0.12199	0.90486	0.9507	0.90291	0.96701	0.012615	0.18868	0.59664	0.82549	0.85034	0.94968
RCVRN	10	0.012262	0.23605	0.57899	0.81475	0.8134	0.99951	-0.011039	-0.21254	0.87817	0.9367	0.83168	0.95402	0.028421	0.54573	0.6991	0.8884	0.58525	0.80351
PTPN13	10	0.016019	0.1857	0.52346	0.77601	0.85268	0.99951	0.060996	0.70784	0.35644	0.60335	0.47904	0.79695	-0.052776	-0.60765	0.29359	0.65894	0.54342	0.78117
LTA4H	10	-0.075589	-1.0019	0.23719	0.53391	0.31639	0.99951	-0.1215	-1.6117	0.096858	0.29297	0.10703	0.40046	-0.099139	-1.3022	0.13904	0.4688	0.19283	0.45803
SARS	10	-0.33249	-2.9257	0	0	0.0034367	0.093923	-0.51678	-4.547	0	0	5.4411e-06	0.00012272	-0.61878	-5.3753	0	0	7.645e-08	1.48e-05
RXRG	10	0.021634	0.35936	0.45286	0.73259	0.71932	0.99951	-0.0032261	-0.053602	0.96642	0.98465	0.95725	0.98769	-0.091742	-1.519	0.16057	0.50609	0.12875	0.36744
PHKA1	10	0.065696	1.3925	0.10375	0.36626	0.16376	0.96339	0.031917	0.67668	0.61558	0.79511	0.49861	0.80998	-0.0041486	-0.087708	0.50409	0.78081	0.93011	0.97811
CMAS	10	-0.043598	-0.37393	0.58502	0.81475	0.70846	0.99951	-0.033767	-0.28967	0.62635	0.79967	0.77207	0.93241	0.26768	2.2936	0.15971	0.50545	0.021814	0.13573
PPM1D	10	-0.19736	-1.9422	0.0017219	0.020619	0.052115	0.63843	-0.32095	-3.1589	0	0	0.0015835	0.017944	0.12268	1.2042	0.73526	0.90227	0.22852	0.5015
GLIPR2	10	-0.015329	-0.27343	0.97632	0.99215	0.78452	0.99951	-0.072294	-1.2896	0.3121	0.55454	0.19717	0.56339	-0.041958	-0.74744	0.3362	0.67913	0.4548	0.72122
COMP	10	-0.10587	-0.92402	0.092553	0.35008	0.35548	0.99951	-0.020723	-0.18102	0.76324	0.88259	0.85635	0.95626	0.25954	2.2601	0.17822	0.52525	0.023818	0.1426
PIP4K2A	10	0.035236	0.2907	0.30564	0.60614	0.77128	0.99951	0.039888	0.32921	0.53638	0.75151	0.742	0.92601	0.23578	1.9409	0.24021	0.60475	0.052267	0.22156
IRAK1	10	0.10765	1.8625	0.012053	0.09396	0.062537	0.7018	0.13912	2.4082	0.033147	0.14556	0.016032	0.11602	0.0025033	0.043108	0.54068	0.79759	0.96562	0.9886
SMOX	10	-0.15667	-1.891	0.011623	0.093103	0.058631	0.67388	-0.29118	-3.5147	0.00043048	0.0039526	0.00044033	0.0060526	-0.012265	-0.14751	0.46836	0.76098	0.88273	0.95866
PDK4	10	0.0004303	0.0070881	0.75936	0.90542	0.99434	0.99972	0.12329	2.0311	0.059406	0.21821	0.042244	0.22928	-0.044939	-0.73966	0.32458	0.67524	0.4595	0.72643
UGCG	10	-0.20729	-1.2658	0.00086096	0.010638	0.2056	0.99951	-0.4382	-2.6736	0	0	0.0075049	0.06386	0.47278	2.8812	0.0038743	0.07377	0.0039612	0.048177
HSPB8	10	-0.0081542	-0.082873	0.87817	0.9573	0.93395	0.99951	-0.0062864	-0.063932	0.93026	0.96776	0.94902	0.98325	-0.12451	-1.2581	0.091261	0.39011	0.20837	0.47874
ZFY	10	0.17065	1.6817	0	0	0.092631	0.80615	0.25119	2.476	0	0	0.013285	0.10086	0.1005	0.98816	0.86268	0.9382	0.32307	0.6038
DCTD	10	0.017684	0.20742	0.50108	0.76228	0.83568	0.99951	0.018106	0.21249	0.7684	0.88542	0.83172	0.95402	0.1599	1.8685	0.53164	0.79319	0.061699	0.24089
