Gene	sgRNA	Comparison_4|beta	Comparison_4|z	Comparison_4|p-value	Comparison_4|fdr	Comparison_4|wald-p-value	Comparison_4|wald-fdr
PRKAG3	10	-0.0707	-0.88719	0.4972	0.9961	0.37498	0.91352
RPL23A	10	-0.018736	-0.189	0.8446	0.9961	0.85009	0.99498
CSNK1D	10	-0.075822	-0.77955	0.46836	0.9961	0.43565	0.92978
CD1A	10	-0.054958	-0.55096	0.59234	0.9961	0.58166	0.95942
HNF4G	10	-0.14266	-1.3351	0.17348	0.86809	0.18186	0.83494
NMT1	10	-0.030359	-0.31043	0.76281	0.9961	0.75623	0.97983
DOLPP1	10	-0.069856	-0.83799	0.5028	0.9961	0.40204	0.92978
MMP20	10	0.01034	0.085734	0.94404	0.9965	0.93168	0.99649
SLC7A8	10	-0.07395	-0.70774	0.48084	0.9961	0.47911	0.93058
STK10	10	-0.05913	-0.794	0.56307	0.9961	0.42719	0.92978
GBA	10	0.07883	0.98974	0.4421	0.9961	0.3223	0.90162
DGKZ	10	0.098861	1.5097	0.33534	0.9961	0.13112	0.8237
PTPN3	10	-0.12942	-1.5948	0.21481	0.91577	0.11075	0.78673
HPN	10	-0.076845	-0.61349	0.46492	0.9961	0.53955	0.95314
GRIN2C	10	-0.011023	-0.11346	0.89582	0.9965	0.90966	0.99649
LTF	10	-0.10651	-1.3906	0.30564	0.98795	0.16436	0.82859
FYN	10	-0.0098088	-0.11188	0.904	0.9965	0.91092	0.99649
PPP2R3A	10	-0.093173	-1.1657	0.37624	0.9961	0.24375	0.87765
NDUFB4	10	-0.21928	-2.31	0.043048	0.66667	0.02089	0.5582
PDPR	10	0.11471	1.1449	0.26173	0.95305	0.25227	0.87765
CAMP	10	0.21835	1.9462	0.032716	0.63235	0.051631	0.70695
ADRBK1	10	-0.19792	-2.2189	0.065002	0.72857	0.02649	0.6033
PDE3B	10	0.22931	2.4048	0.024107	0.6	0.016183	0.54153
NR1I3	10	-0.093982	-1.393	0.37107	0.9961	0.16363	0.82859
NEU1	10	-0.021415	-0.30615	0.82523	0.9961	0.75949	0.97983
TTK	10	-0.024846	-0.21395	0.80241	0.9961	0.83059	0.99322
MAT1A	10	0.016741	0.15472	0.88635	0.9965	0.87704	0.99498
HRH1	10	-0.085268	-1.1031	0.42273	0.9961	0.26996	0.87832
HADH	10	-0.12156	-1.8521	0.23978	0.93929	0.064016	0.70695
SBK2	10	0.064811	0.93633	0.5282	0.9961	0.3491	0.9042
CDK4	10	-0.083445	-0.66387	0.42962	0.9961	0.50677	0.93818
CDKL4	10	-0.0054552	-0.043627	0.93629	0.9965	0.9652	0.99869
TUBA3C	10	0.10374	0.67341	0.31296	0.98795	0.50069	0.93464
DHRS11	10	-0.15192	-2.2435	0.14808	0.8536	0.024865	0.59321
UBA1	10	-0.23147	-1.3087	0.033147	0.63235	0.19064	0.84388
SCPEP1	10	-0.08457	-0.72001	0.42488	0.9961	0.47152	0.92978
ADRA2A	10	0.0018508	0.019941	0.99096	0.99784	0.98409	0.99869
MED1	10	0.0017043	0.021416	0.99096	0.99784	0.98291	0.99869
SCTR	10	-0.056179	-0.70247	0.58244	0.9961	0.48239	0.93126
RNASE3	10	0.080305	1.0629	0.43607	0.9961	0.28785	0.89459
AVPR2	10	-0.013288	-0.1738	0.87731	0.9961	0.86202	0.99498
DPP4	10	0.056239	0.66074	0.58932	0.9961	0.50878	0.93987
KCNJ11	10	0.05223	0.55027	0.62462	0.9961	0.58213	0.95942
FCRL2	10	-0.016874	-0.18147	0.85665	0.9961	0.856	0.99498
PPAP2A	10	0.037194	0.40425	0.72406	0.9961	0.68603	0.97862
ARPC5	10	0.23904	1.7645	0.020663	0.57471	0.07765	0.73927
CLCN2	10	-0.046323	-0.60777	0.64615	0.9961	0.54334	0.95407
C1R	10	0.075947	0.9323	0.46061	0.9961	0.35118	0.90443
PPP1R9B	10	0.1251	1.4409	0.21653	0.91577	0.14962	0.82859
BCAT2	10	-0.073269	-0.89314	0.48515	0.9961	0.37178	0.91352
NUAK1	10	-0.069974	-0.78904	0.50237	0.9961	0.43009	0.92978
ITPKC	10	0.079128	0.6651	0.44038	0.9961	0.50599	0.93818
SOAT1	10	0.051611	0.93745	0.62721	0.9961	0.34853	0.9042
TYR	10	0.068563	0.83531	0.50538	0.9961	0.40355	0.92978
BMP2K	10	0.048957	0.34237	0.64701	0.9961	0.73207	0.97983
GALNT1	10	0.11097	0.75066	0.27723	0.96697	0.45286	0.92978
CXCL10	8	-0.019256	-0.18905	0.86397	0.9961	0.85005	0.99498
EPHB2	10	0.11065	1.1795	0.27938	0.97156	0.23821	0.87765
PLK3	10	0.017959	0.13382	0.87387	0.9961	0.89355	0.99498
MMP17	10	-0.13729	-1.3156	0.1907	0.87723	0.18831	0.84388
ALPPL2	10	0.020865	0.29576	0.85278	0.9961	0.76742	0.97983
RNASEL	10	0.11502	2.0699	0.26173	0.95305	0.038463	0.6718
TNNC2	10	0.021462	0.29822	0.84589	0.9961	0.76553	0.97983
DGKG	10	0.060309	0.72856	0.5622	0.9961	0.46627	0.92978
PFKFB1	10	0.068944	1.246	0.50409	0.9961	0.21277	0.86446
SLC6A1	10	-0.20369	-2.7701	0.057684	0.72857	0.005604	0.47992
CTDSP2	10	0.080458	0.94089	0.43478	0.9961	0.34676	0.9042
ACAN	10	-0.021558	-0.23942	0.82393	0.9961	0.81078	0.98654
MYH7	10	-0.035356	-0.33196	0.72062	0.9961	0.73992	0.97983
PPM1L	10	0.06368	0.59595	0.53594	0.9961	0.55121	0.95771
CHRNA3	10	-0.22165	-2.0091	0.038743	0.6338	0.044521	0.67799
EPHA2	10	0.023399	0.32157	0.83341	0.9961	0.74778	0.97983
GRIN3B	10	0.066977	0.77874	0.51614	0.9961	0.43613	0.92978
CD52	10	-0.032379	-0.27443	0.74688	0.9961	0.78376	0.98043
CLK4	10	-0.043955	-0.53189	0.65906	0.9961	0.5948	0.95942
LGALS7	6	-0.025339	-0.25343	0.84417	0.9961	0.79994	0.98253
GCK	10	0.071866	0.70137	0.48773	0.9961	0.48307	0.93126
CD3G	10	-0.0235	-0.20609	0.81059	0.9961	0.83672	0.99419
CARTPT	10	0.0031699	0.060437	0.99526	0.99871	0.95181	0.99869
FGFR1	10	-0.0038581	-0.046166	0.95265	0.9965	0.96318	0.99869
SLC3A1	10	0.087578	1.1247	0.39561	0.9961	0.2607	0.87765
CTSV	10	0.27413	1.6626	0.0081791	0.38	0.096386	0.74663
SORCS3	10	0.029451	0.27273	0.78218	0.9961	0.78506	0.98062
LCMT2	10	0.16428	1.6593	0.10288	0.78878	0.097058	0.74663
PDE1B	10	-0.25098	-2.6826	0.022815	0.59551	0.0073063	0.48763
MGST3	10	0.017761	0.16643	0.87602	0.9961	0.86782	0.99498
CPE	10	0.13606	1.1319	0.17908	0.87247	0.25767	0.87765
G6PC2	10	-0.097247	-1.3989	0.35471	0.9961	0.16184	0.82859
PRKAR2B	10	-0.019384	-0.25372	0.83857	0.9961	0.79971	0.98253
AKR1B1	10	0.016227	0.20192	0.88894	0.9965	0.83998	0.99498
GRIK4	10	-0.0035781	-0.035216	0.95351	0.9965	0.97191	0.99869
TGFBR2	10	0.14793	1.2488	0.14249	0.84131	0.21172	0.86446
MAP4K2	10	0.037781	0.38478	0.71933	0.9961	0.7004	0.97862
PPM1M	10	0.013683	0.13603	0.9096	0.9965	0.8918	0.99498
TAT	10	0.05433	0.56667	0.60568	0.9961	0.57094	0.95942
PDIK1L	10	0.0030888	0.033569	0.99699	0.99871	0.97322	0.99869
MAP2K6	10	0.025026	0.28589	0.82092	0.9961	0.77496	0.97983
ENPP3	10	0.022047	0.28726	0.8446	0.9961	0.77392	0.97983
RPS6KA6	10	-0.0054578	-0.075231	0.93629	0.9965	0.94003	0.99649
PFN1	10	-0.11468	-1.2112	0.26733	0.95981	0.22583	0.87765
ADCK5	10	-0.089872	-1.1665	0.39217	0.9961	0.24342	0.87765
GLRX2	10	-0.012582	-0.097113	0.88076	0.9965	0.92264	0.99649
GAPDH	10	-0.32486	-2.5319	0.0043048	0.26316	0.011343	0.50142
FBP1	10	0.079865	0.70838	0.4378	0.9961	0.47871	0.93058
DUSP27	10	-0.008204	-0.091906	0.91649	0.9965	0.92677	0.99649
PCSK1	10	0.033153	0.38109	0.75635	0.9961	0.70314	0.97862
GRM8	10	-0.025013	-0.24643	0.80112	0.9961	0.80535	0.98517
PVALB	10	-0.14454	-1.1648	0.16832	0.86696	0.2441	0.87765
PGA3	7	0.19666	1.9593	0.1102	0.79758	0.050074	0.70498
ACCS	10	0.12949	1.3253	0.20017	0.89768	0.18508	0.84135
HADHA	10	0.19223	2.0797	0.06285	0.72857	0.03755	0.66586
MTMR10	10	0.0049805	0.05049	0.9802	0.9965	0.95973	0.99869
TNNC1	10	0.082792	0.75535	0.42187	0.9961	0.45004	0.92978
SLC22A5	10	-0.073637	-0.9181	0.48257	0.9961	0.35857	0.90897
NRK	10	-0.016478	-0.14608	0.85751	0.9961	0.88386	0.99498
BRD3	10	0.10327	0.97754	0.31597	0.98795	0.3283	0.90254
STK36	10	-0.034534	-0.46871	0.7288	0.9961	0.63928	0.96374
CA1	10	0.030578	0.3715	0.774	0.9961	0.71027	0.97862
SLC25A20	10	0.065584	0.65721	0.52432	0.9961	0.51105	0.93995
AK5	10	0.060196	0.70445	0.5622	0.9961	0.48115	0.93126
PIK3C3	10	-0.24099	-1.8861	0.027981	0.61905	0.059282	0.70695
CBR1	10	0.10271	1.1693	0.31769	0.98795	0.24226	0.87765
PLEKHA1	10	0.10156	1.484	0.32415	0.99209	0.13781	0.82859
RARG	10	0.084372	0.98506	0.41498	0.9961	0.32459	0.90162
ACSL4	10	-0.023737	-0.25654	0.8093	0.9961	0.79753	0.98253
PTPRR	10	0.02305	0.23611	0.83556	0.9961	0.81335	0.98715
MTMR6	10	-0.14915	-1.9721	0.15497	0.86635	0.048595	0.70498
BUB1B	10	-0.09215	-0.93902	0.38097	0.9961	0.34772	0.9042
DHRS4	10	-0.082096	-1.0886	0.43607	0.9961	0.27634	0.88643
P2RY12	10	-0.054459	-0.83832	0.59664	0.9961	0.40185	0.92978
MAPK4	10	-0.046036	-0.76161	0.64744	0.9961	0.44629	0.92978
GNRHR	10	0.0033769	0.042879	0.99483	0.99871	0.9658	0.99869
S100A2	10	-0.048602	-0.61063	0.6328	0.9961	0.54145	0.95407
MAP3K13	10	0.09094	0.89819	0.37925	0.9961	0.36908	0.91352
TRIM33	10	0.1014	0.76418	0.32415	0.99209	0.44476	0.92978
GOT1	10	-0.077437	-0.88834	0.46147	0.9961	0.37436	0.91352
NDUFB9	10	-0.058249	-0.43775	0.5678	0.9961	0.66157	0.97227
GIT1	10	0.045729	0.5712	0.66939	0.9961	0.56786	0.95942
CRYZ	10	0.069561	0.69992	0.50194	0.9961	0.48398	0.93126
SERPINA5	10	0.24199	1.6893	0.018511	0.55844	0.091166	0.74663
SPHK2	10	0.077546	0.6911	0.45243	0.9961	0.4895	0.93318
EFTUD1	10	-0.25839	-2.4607	0.020663	0.57471	0.013868	0.54146
F7	10	-0.059984	-0.64431	0.55876	0.9961	0.51937	0.94185
RTCA	10	0.051652	0.61379	0.62721	0.9961	0.53935	0.95314
CDK13	10	0.040099	0.41512	0.70555	0.9961	0.67805	0.97862
MYLK4	10	-0.15727	-1.1403	0.13431	0.83422	0.25414	0.87765
MMP8	10	-0.12298	-1.3957	0.23676	0.93718	0.16281	0.82859
CUBN	10	0.0070953	0.086027	0.96556	0.9965	0.93145	0.99649
SSB	10	0.062271	0.61856	0.55015	0.9961	0.5362	0.95084
ADH1B	10	-0.065986	-0.57661	0.52045	0.9961	0.5642	0.95942
BRD4	10	-0.016124	-0.12296	0.85837	0.9961	0.90214	0.99649
INPP5F	10	-0.061478	-0.77852	0.54929	0.9961	0.43626	0.92978
TRPM8	10	0.11122	1.168	0.2768	0.96692	0.24279	0.87765
STK40	10	0.22462	2.0533	0.027551	0.61905	0.040046	0.67467
PHOSPHO2	10	0.094346	1.2007	0.3616	0.9961	0.22989	0.87765
HS3ST3A1	10	-0.030839	-0.33653	0.75807	0.9961	0.73647	0.97983
LRRK2	10	0.086035	0.9108	0.40465	0.9961	0.3624	0.91348
C4A	10	0.031472	0.22804	0.76754	0.9961	0.81962	0.98979
CD247	10	-0.15045	-1.4759	0.15153	0.85854	0.13997	0.82859
ITPA	10	0.096864	0.9564	0.34783	0.9961	0.33887	0.9042
UCK1	10	-0.10076	-1.3966	0.3362	0.9961	0.16255	0.82859
PEAK1	10	0.10717	1.4313	0.29746	0.98166	0.15234	0.82859
SCN4A	10	0.075137	0.95825	0.46535	0.9961	0.33794	0.9042
TUBB	10	-0.18582	-1.7033	0.082221	0.77642	0.08852	0.74663
KCNMA1	10	0.16976	2.4326	0.092122	0.77817	0.014992	0.54153
KCNA4	10	-0.23031	-1.9602	0.034869	0.63235	0.049973	0.70498
SCNN1A	10	0.036522	0.3998	0.7288	0.9961	0.6893	0.97862
POR	10	-0.10654	-1.1977	0.30564	0.98795	0.23102	0.87765
SCN1B	10	0.032488	0.35015	0.76108	0.9961	0.72623	0.97983
MAOB	10	-0.0062976	-0.069745	0.93155	0.9965	0.9444	0.99709
SLC25A2	10	0.11953	1.5887	0.24064	0.94108	0.11212	0.78673
SLC1A6	10	-0.069272	-0.72147	0.50452	0.9961	0.47062	0.92978
TACR1	10	-0.16829	-1.6897	0.11279	0.79758	0.091093	0.74663
CLPB	10	0.036842	0.49684	0.72665	0.9961	0.6193	0.96223
PIK3R5	10	0.16303	1.7867	0.10547	0.79545	0.073985	0.72517
HIBCH	10	0.084844	0.83157	0.4124	0.9961	0.40565	0.92978
RPS6KL1	10	-0.11003	-1.2325	0.29186	0.98166	0.21776	0.86446
SCN5A	10	-0.029424	-0.3745	0.76797	0.9961	0.70803	0.97862
PRKCB	10	0.092145	1.1816	0.37279	0.9961	0.23735	0.87765
GABRR3	10	0.0059411	0.092694	0.97245	0.9965	0.92615	0.99649
F11	10	0.14486	1.411	0.15067	0.85854	0.15824	0.82859
PPCDC	10	-0.15527	-1.2917	0.13947	0.84131	0.19646	0.84727
CTSH	10	-0.17789	-1.3207	0.097288	0.78477	0.18661	0.84388
ADCK4	10	0.069548	0.78938	0.50194	0.9961	0.42989	0.92978
BPI	10	0.080078	0.83267	0.4365	0.9961	0.40503	0.92978
PROSC	10	-0.002512	-0.030028	0.96212	0.9965	0.97604	0.99869
NTRK3	10	0.094198	0.95068	0.36246	0.9961	0.34177	0.9042
EGLN3	10	-0.11953	-1.3484	0.24709	0.94108	0.17753	0.83494
NPR3	10	-0.062318	-0.52109	0.54412	0.9961	0.6023	0.95942
ELANE	10	-0.079012	-0.56829	0.45243	0.9961	0.56984	0.95942
DCD	10	0.076743	0.57958	0.45588	0.9961	0.56219	0.95942
BMPR1A	10	-0.027638	-0.24099	0.78218	0.9961	0.80956	0.98654
SPEG	10	-0.024267	-0.32856	0.80801	0.9961	0.74249	0.97983
CAMK4	10	0.19358	1.3383	0.059836	0.72857	0.18081	0.83494
NDUFS5	10	0.056475	0.39072	0.58803	0.9961	0.696	0.97862
SLC16A5	10	-0.15514	-1.4227	0.13947	0.84131	0.15482	0.82859
PANK2	10	0.10369	0.74061	0.31296	0.98795	0.45893	0.92978
DAPP1	10	-0.27057	-2.7431	0.015497	0.52174	0.0060854	0.47992
MAP3K8	10	0.10063	0.93763	0.32975	0.9961	0.34843	0.9042
AKR1B10	10	0.044427	0.35551	0.67757	0.9961	0.72221	0.97983
LGALS2	10	-0.065503	-0.58502	0.52432	0.9961	0.55853	0.95942
PPARD	10	-0.061256	-0.67869	0.55058	0.9961	0.49733	0.93396
RPL11	10	-0.004115	-0.022892	0.94877	0.9965	0.98174	0.99869
TYROBP	10	-0.015521	-0.1649	0.86311	0.9961	0.86902	0.99498
GLYAT	10	-0.10814	-1.6915	0.29961	0.98166	0.090747	0.74663
TRIB1	10	0.20294	1.9517	0.047353	0.67901	0.050972	0.70695
RBP3	10	0.051788	0.52734	0.62678	0.9961	0.59796	0.95942
PRKCZ	10	0.040989	0.53964	0.69996	0.9961	0.58945	0.95942
INPPL1	10	-0.0091378	-0.13341	0.90917	0.9965	0.89387	0.99498
TIE1	10	0.18141	0.96544	0.071459	0.75455	0.33432	0.9042
LCMT1	10	-0.14379	-1.2644	0.17004	0.86809	0.20608	0.86343
PPP1R12C	10	0.00031758	0.0033375	0.98063	0.9965	0.99734	1
PPP3CC	10	0.048229	0.4927	0.65045	0.9961	0.62222	0.96297
SLC25A10	18	0.11439	0.97542	0.13345	0.83333	0.32935	0.9042
MAP3K4	10	0.031155	0.32073	0.77056	0.9961	0.74841	0.97983
CYTH2	7	0.073204	0.95998	0.55144	0.9961	0.33706	0.9042
TEC	10	0.056865	0.53251	0.58588	0.9961	0.59437	0.95942
NT5M	10	0.031959	0.34423	0.76324	0.9961	0.73067	0.97983
C1S	10	0.07095	0.822	0.49247	0.9961	0.41108	0.92978
IARS	10	-0.057182	-0.38614	0.57598	0.9961	0.69939	0.97862
HTR1F	10	0.16642	1.5129	0.095136	0.77817	0.1303	0.8237
PICK1	10	-0.071784	-0.7863	0.4929	0.9961	0.43169	0.92978
MTMR2	10	0.027687	0.29341	0.79897	0.9961	0.7692	0.97983
SLC22A4	10	0.054489	0.57832	0.60396	0.9961	0.56305	0.95942
FGB	10	-0.024817	-0.24014	0.80284	0.9961	0.81022	0.98654
FER	10	-0.0019472	-0.014794	0.96513	0.9965	0.9882	1
B4GALT4	10	0.018677	0.20705	0.86913	0.9961	0.83597	0.99419
TST	10	0.18523	1.874	0.065863	0.72857	0.060925	0.70695
TNFSF11	10	0.062185	0.71033	0.55058	0.9961	0.4775	0.93058
ERN1	10	0.053148	0.63531	0.61644	0.9961	0.52523	0.94221
SRPK3	10	0.089997	0.94383	0.38269	0.9961	0.34526	0.9042
PROC	10	0.019296	0.27627	0.86526	0.9961	0.78234	0.97983
SORD	10	0.046177	0.70903	0.66638	0.9961	0.4783	0.93058
CRYBB1	10	0.062029	0.86284	0.55187	0.9961	0.38823	0.92685
AKAP10	10	-0.051007	-0.63999	0.61558	0.9961	0.52218	0.94221
FADS2	10	-0.013528	-0.14458	0.87602	0.9961	0.88504	0.99498
PCCB	10	-0.081171	-1.272	0.44124	0.9961	0.20336	0.86343
SKP1	6	0.16577	1.1039	0.2217	0.91815	0.26963	0.87832
CDK14	10	0.23114	1.6705	0.024107	0.6	0.094824	0.74663
PIM2	10	0.056116	0.79746	0.59062	0.9961	0.42518	0.92978
NDUFA1	10	-0.25794	-2.1108	0.020663	0.57471	0.034792	0.66247
HUNK	10	0.1188	1.432	0.24451	0.94108	0.15215	0.82859
RPL26L1	10	0.049969	0.53275	0.64055	0.9961	0.5942	0.95942
CEACAM1	10	0.038307	0.46082	0.71588	0.9961	0.64493	0.96531
FDX1	10	-0.059502	-0.57473	0.5622	0.9961	0.56547	0.95942
NNT	10	-0.025562	-0.22987	0.79595	0.9961	0.8182	0.98979
GCGR	10	-0.079289	-1.0253	0.45071	0.9961	0.30524	0.90162
HINT1	10	-0.088942	-0.71597	0.39905	0.9961	0.47401	0.92978
EEF2K	10	-0.056883	-0.99734	0.57813	0.9961	0.3186	0.90162
CA12	10	0.18598	2.2411	0.065863	0.72857	0.025018	0.59321
KCNMB4	10	-0.24892	-2.6807	0.024537	0.6	0.007347	0.48763
SGPP1	10	0.11143	1.0391	0.27594	0.96692	0.29875	0.90127
CKMT1A	10	-0.07077	-0.90694	0.4972	0.9961	0.36444	0.91348
SYN1	10	0.00069047	0.0078357	0.98235	0.99694	0.99375	1
PTPRZ1	10	-0.11299	-1.0718	0.27594	0.96692	0.28379	0.89459
SIK2	10	0.029181	0.30545	0.78605	0.9961	0.76003	0.97983
AURKC	10	0.05273	0.7956	0.62032	0.9961	0.42627	0.92978
CRH	10	-0.012954	-0.11951	0.87861	0.9961	0.90487	0.99649
LCT	10	-0.030685	-0.37715	0.76022	0.9961	0.70607	0.97862
TSSK3	10	0.25339	1.8569	0.015497	0.52174	0.063322	0.70695
KCNMB1	10	0.036025	0.42425	0.73396	0.9961	0.67138	0.97862
CAMK2D	10	-0.0039528	-0.039444	0.95136	0.9965	0.96854	0.99869
SLC6A14	10	0.12796	1.9063	0.20663	0.91429	0.056616	0.70695
GPX5	10	-0.14447	-2.0327	0.16832	0.86696	0.042085	0.67799
CHRNB2	10	-0.20171	-2.3807	0.059406	0.72857	0.017279	0.54153
CA11	10	-0.1376	-1.4866	0.18855	0.87723	0.13712	0.82859
SRR	10	0.063423	0.70983	0.53594	0.9961	0.47781	0.93058
HDHD1	10	0.028137	0.29791	0.79423	0.9961	0.76577	0.97983
PI4K2B	10	0.047541	0.35149	0.65519	0.9961	0.72522	0.97983
EGFR	10	-0.030121	-0.25437	0.7641	0.9961	0.79921	0.98253
PTK2B	10	-0.0076055	-0.083826	0.92079	0.9965	0.93319	0.99649
SHARPIN	10	0.17685	2.5267	0.078777	0.77637	0.011513	0.50142
SYK	10	0.090582	0.76042	0.38097	0.9961	0.447	0.92978
SCN1A	10	-0.14864	-1.6997	0.15626	0.86635	0.089185	0.74663
AADACL2	10	-0.083253	-1.0633	0.42962	0.9961	0.28764	0.89459
PTGDR	10	0.0090815	0.11023	0.95265	0.9965	0.91223	0.99649
DHRS4L2	10	0.0016242	0.020455	0.99053	0.99784	0.98368	0.99869
XYLB	10	0.024086	0.2384	0.82867	0.9961	0.81157	0.98654
IDH3B	10	-0.060774	-0.83834	0.55575	0.9961	0.40184	0.92978
DCLK2	10	0.16029	1.9166	0.11149	0.79758	0.055291	0.70695
PLK1	10	0.2276	0.96176	0.025398	0.60606	0.33617	0.9042
ACVRL1	10	0.16551	1.5458	0.09901	0.78477	0.12214	0.81067
KIF1A	10	-0.025114	-0.3527	0.80026	0.9961	0.72431	0.97983
HMGCL	10	0.051832	0.57277	0.62635	0.9961	0.5668	0.95942
MAP3K5	10	0.21326	1.9078	0.037021	0.63235	0.056417	0.70695
EEF2	10	-0.2129	-1.6701	0.046922	0.67901	0.094902	0.74663
DYRK2	10	-0.037785	-0.47559	0.70254	0.9961	0.63437	0.96319
ACY1	9	0.059364	0.71486	0.59449	0.9961	0.4747	0.92978
JAK1	10	-0.17372	-2.1397	0.10159	0.78477	0.032379	0.64841
PTP4A1	10	-0.004837	-0.051725	0.94189	0.9965	0.95875	0.99869
NMT2	10	-0.11323	-1.2373	0.27421	0.96692	0.21598	0.86446
ANXA2	10	0.16075	1.1424	0.10977	0.79758	0.2533	0.87765
NEK3	10	-0.083331	-1.0556	0.42962	0.9961	0.29114	0.89459
NDUFA6	10	-0.03881	-0.35178	0.69694	0.9961	0.725	0.97983
FNTA	5	-0.20517	-1.347	0.19199	0.87968	0.17799	0.83494
PPP1R10	10	0.093572	0.53541	0.36677	0.9961	0.59237	0.95942
MARK3	10	0.066949	0.83421	0.51657	0.9961	0.40416	0.92978
SCMH1	10	0.16805	1.2468	0.094275	0.77817	0.21247	0.86446
CD209	10	-0.065486	-0.66645	0.52475	0.9961	0.50512	0.93809
ROR2	10	-0.066163	-0.7908	0.52002	0.9961	0.42906	0.92978
F2R	10	-0.01011	-0.11852	0.90228	0.9965	0.90566	0.99649
SI	10	-0.067987	-0.80182	0.51012	0.9961	0.42266	0.92978
GABBR2	10	0.13995	1.4546	0.16703	0.86696	0.14579	0.82859
S100A12	10	-0.036835	-0.41989	0.70943	0.9961	0.67456	0.97862
LEPREL2	10	0.20136	1.9171	0.049074	0.68047	0.055228	0.70695
FGF4	10	0.11555	1.0374	0.25915	0.95305	0.29953	0.90127
PKN1	10	0.065498	0.6768	0.52475	0.9961	0.49853	0.93464
ARL5B	10	-0.032014	-0.28172	0.74946	0.9961	0.77816	0.97983
MAPKAPK2	10	-0.10371	-1.0945	0.32028	0.99068	0.27375	0.88621
GP1BA	10	0.026447	0.34603	0.8093	0.9961	0.72932	0.97983
BHMT2	10	-0.14174	-1.6709	0.17563	0.86809	0.094751	0.74663
MTOR	10	-0.16552	-1.7606	0.11838	0.80994	0.078302	0.74243
PRKD1	10	-0.0086128	-0.10001	0.91433	0.9965	0.92034	0.99649
BEGAIN	10	-0.13515	-1.0651	0.19673	0.89084	0.28683	0.89459
MAP2K7	10	0.21311	1.4939	0.037021	0.63235	0.13521	0.82859
ALPL	10	0.008538	0.065362	0.9548	0.9965	0.94789	0.99756
PDHA2	10	-0.11415	-1.229	0.2712	0.9633	0.21906	0.86543
NDUFA9	10	0.056833	0.70899	0.58588	0.9961	0.47833	0.93058
MAP3K7	10	-0.21801	-1.6959	0.043909	0.67105	0.089903	0.74663
HBB	10	-0.0056392	-0.07524	0.93543	0.9965	0.94002	0.99649
EPRS	10	-0.13949	-0.99089	0.18381	0.87247	0.32174	0.90162
NDUFB5	10	0.16784	1.5615	0.094705	0.77817	0.1184	0.801
AKAP7	10	-0.021587	-0.16146	0.82393	0.9961	0.87173	0.99498
GABRA1	10	-0.073115	-0.71991	0.48515	0.9961	0.47158	0.92978
CDC42BPA	10	0.19059	2.2692	0.064141	0.72857	0.023253	0.57465
RPL15	10	-0.16701	-0.89258	0.11494	0.8018	0.37208	0.91352
SLC1A4	10	-0.069683	-0.79854	0.50323	0.9961	0.42456	0.92978
AKAP11	10	-0.14293	-1.4776	0.17262	0.86809	0.13953	0.82859
AKAP13	10	0.01967	0.179	0.86225	0.9961	0.85794	0.99498
GK2	10	0.062446	0.54152	0.54671	0.9961	0.58815	0.95942
SBK1	10	0.049202	0.58371	0.64486	0.9961	0.55941	0.95942
AURKA	10	0.021047	0.21261	0.85149	0.9961	0.83163	0.99322
DYRK1B	10	-0.074991	-1.0647	0.47266	0.9961	0.28702	0.89459
AVPR1B	10	-0.14703	-1.8689	0.161	0.86696	0.061639	0.70695
SLC36A1	10	0.08548	0.98545	0.40809	0.9961	0.3244	0.90162
PRDX6	10	0.046033	0.60359	0.66767	0.9961	0.54611	0.95407
NEK8	10	-0.023474	-0.24493	0.81059	0.9961	0.80651	0.98538
EPHA5	10	-0.19206	-2.3054	0.073612	0.76339	0.021146	0.55821
SLC8A1	10	-0.032474	-0.37239	0.74602	0.9961	0.7096	0.97862
HSPG2	10	-0.07946	-0.68889	0.45028	0.9961	0.49089	0.93318
CLK2	10	-0.032829	-0.28283	0.74387	0.9961	0.7773	0.97983
PTPRC	10	-0.014311	-0.1514	0.87	0.9961	0.87966	0.99498
CERKL	10	-0.16068	-2.3326	0.12785	0.82561	0.019668	0.55204
PPM1E	10	0.14153	1.1494	0.16143	0.86696	0.2504	0.87765
PGGT1B	10	-0.013492	-0.1062	0.87645	0.9961	0.91543	0.99649
ADRB1	10	0.014191	0.1603	0.90486	0.9965	0.87264	0.99498
PIK3AP1	10	-0.017138	-0.24122	0.85407	0.9961	0.80938	0.98654
MCFD2	10	0.050811	0.5113	0.63237	0.9961	0.60914	0.95959
IKBKB	10	0.56979	3.5308	0	0	0.00041438	0.1821
HSD17B10	10	-0.18605	-1.1444	0.081791	0.77642	0.25247	0.87765
CCL8	10	-0.00050409	-0.0057376	0.97503	0.9965	0.99542	1
INPP4B	10	0.080427	0.99888	0.43521	0.9961	0.31785	0.90162
TLR2	10	-0.018238	-0.16517	0.84804	0.9961	0.86881	0.99498
CYTH3	10	0.085573	0.8188	0.40766	0.9961	0.4129	0.92978
OXCT1	10	-0.14471	-1.6726	0.16746	0.86696	0.094405	0.74663
PHKA2	10	-0.026432	-0.27765	0.79208	0.9961	0.78128	0.97983
SPTLC1	10	-0.0068645	-0.054148	0.92596	0.9965	0.95682	0.99869
COL2A1	10	0.0041741	0.0749	0.98622	0.99784	0.94029	0.99649
PPM1G	10	-0.0031782	-0.024322	0.95652	0.9965	0.9806	0.99869
